l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w
1181.2,1320.8,1549.5,1680.2,1986.7,2170.1,2397.1,2552.2,2790.2,2928.4,3067.2,3181.5,3403.9,3522,3674.1,3859.9,4034.6,4150,4259.3,4332.6,4449.1,4627.9,4749.8,4859.5,4960.5,5046.1,5152.6,5226.7,5344.6,5631.3,5781.9,5881.5,6045.3
1219.9,1367.5,1587.7,1728.2,2025.1,2216.1,2436.7,2599.3,2830.2,2978.1,3112.6,3247.5,3446.5,3589.3,3806.7,3934.8,4107.9,4221.1,4315.4,4386.2,4527.1,4702.7,4818.7,4922.3,5016.5,5101.1,5212.1,5281.3,5422.7,5681.1,5824.3,5955.7,6174.6
