l,l,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1980.2,2339.3,2455,2677.5,2783.4,2967.2,3064.5,3141.6,3257.8,3506.1,3672.4,3775.2,3926,4027,4100.2,4215.5,4457.3,4576.2,4682.5,4780.2,4863.8,4967.7,5043.3,5162.4,5707.2,5838.3,5997.7,6100.9,6276.7,6376.7,6451.2,6567.3,6775.1,6914.3,7028.5,7130,7216.9,7322.2,7399.6,7519.2
2015.1,2377.4,2507.4,2712.3,2846.5,3017.1,3122.2,3195.9,3326.3,3569.7,3714.5,3841.9,3984.5,4089.4,4157.4,4289.7,4527.8,4644.1,4745.7,4837.1,4923.2,5032.1,5098.5,5238,5744.9,5895.3,6039.7,6174.4,6327.8,6445.2,6512,6643.9,6847.5,6989.5,7090.9,7188.3,7277.3,7390.2,7457.1,7597
