l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1986.1,2130.2,2296.1,2406.1,2560.1,2685.7,2802,2933.6,3064.8,3231.3,3370.5,3492.4,3596,3669.8,3783,4068.1,4245.1,4348.2,4510.2,4614.6,4764.2,4950.6,5126.4,5245.6,5354.2,5429.5,5545.1,5709,5830.4,5941.4,6041.9,6127.3,6230.8,6307.2,6426.6,6871.6,7034.8,7144.7,7336.3,7508.6,7687.4,7808.4,7918.4,8017.2,8104.5,8210.6,8285.2,8404.6
2021.1,2176,2331.9,2462.7,2596.7,2721.8,2838.8,2979.2,3176.1,3304.7,3442.7,3561,3658,3729.3,3856.1,4119.2,4284.4,4420.9,4554.1,4683.9,4895.1,5029.3,5199.7,5318,5412.8,5483.7,5624.3,5782.9,5903.9,6005.5,6097.8,6182.4,6291.8,6362.3,6503.3,6916.9,7075.6,7218.3,7451.3,7580.7,7761.8,7880.5,7980.7,8074.5,8157,8270.5,8340.2,8480
