l,l,i,l,i,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1979.4,2178.1,2369.3,2602.1,2763.8,2946.4,3112.8,3300.8,3419.2,3637.9,3781.4,3991.8,4113.4,4451.1,4631.6,4749,4905.2,5096.9,5271.9,5386.4,5492.4,5568.7,5686.4,5932.9,6040.5,6264.8,6366.3,6519.4,6709.2,7242.6,7349.1,7522.3,7628.2,7772.8,7967.9,8126.3,8243.4,8354.5,8456.3,8541.8,8647.3,8721.5,8842.7,9113.9,9283.7,9387.8,9540.3,9729.4,9925.6,10043,10155,10256,10343,10448,10523,10645,10837,10958,11072,11173,11261,11369,11444,11563,12044,12191,12298,12446,12646,12861,12978,13090,13190,13276,13380,13457,13578,14527,14664,14826,14936,15094,15195,15267,15388,15547,15666,15778,15879,15966,16073,16151,16271,16655,16811,16915,17338,17448,17598,17702,17852,18048,18236,18357,18469,18570,18658,18766,18842,18968
2015,2215.3,2418.3,2637,2815.5,2985.8,3165,3343.7,3480,3678.3,3832.3,4033.4,4181.8,4506.9,4673.4,4822.8,5045.9,5172.5,5341.1,5460.6,5555.8,5624.2,5761.7,5975.3,6112.1,6307.8,6438.6,6656.4,6785.4,7288.1,7426.7,7564.5,7708.2,7915,8046.2,8203.4,8321,8418.7,8510.2,8601.7,8710.9,8784.7,8919.3,9172.9,9327.9,9464.2,9677.8,9807,9999.9,10119,10221,10314,10401,10510,10582,10721,10914,11033,11136,11231,11321,11430,11501,11640,12095,12235,12372,12585,12723,12936,13057,13153,13248,13336,13444,13520,13656,14568,14720,14872,15000,15151,15259,15330,15467,15625,15744,15843,15936,16027,16137,16208,16347,16705,16857,16992,17381,17520,17645,17765,17993,18123,18312,18433,18535,18628,18719,18828,18901,19044
