l,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1676.9,1974.2,2108.5,2281.3,2479.9,2637.2,2822.5,2944,3144.4,3261,3431.6,3541,3705.6,3808.5,3884.1,4000.4,4174.2,4298.2,4409,4507.8,4593.6,4700,4773.3,4892.2,5105.5,5226.2,5335.9,5417.1,5532.2,5790.7,5937.3,6043.2,6203.3,6305.8,6380.6,6497.5,6657.3,6782,6892.1,6991.2,7076.9,7182.6,7258,7376.4,7739.9,7899.8,8008.3,8156,8342.6,8499,8624.8,8734.9,8834.9,8921.7,9029.3,9103.5,9220.2,9646.6,9800.5,9910.2,10269,10380,10581,10688,10841,11023,11170,11289,11399,11478,11596,11812,11931,12041,12122,12236,12587,12756,12862,13095,13199,13361,13558,13746,13869,13980,14081,14167,14273,14351,14469,14809,14982,15089,15244,15350,15507,15686,15873,15992,16104,16205,16292,16400,16476,16598
1710.9,2012.8,2149.4,2325.6,2517.8,2690.3,2864.2,2999.9,3184.7,3321.1,3477,3601.1,3755.5,3866,3935.6,4076.3,4246.6,4371.7,4470.4,4566.1,4653,4762.2,4831.8,4966.6,5176.6,5299.6,5399.6,5468,5607.2,5842.5,5980.4,6103.6,6253,6368.2,6440.9,6574.4,6731.8,6854.2,6954.6,7046.9,7132,7245.7,7315,7455.8,7787.6,7943.2,8079.7,8289.2,8421.5,8573.7,8696.3,8798.9,8892,8982.7,9093.2,9161.8,9299.8,9695.8,9843.4,9972.5,10310,10446,10622,10763,10971,11102,11245,11363,11466,11537,11677,11886,12004,12106,12172,12318,12633,12798,12936,13141,13270,13505,13635,13821,13944,14045,14139,14228,14338,14407,14549,14869,15027,15158,15291,15418,15631,15766,15947,16068,16170,16264,16348,16463,16534,16678
