l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l
1580.4,1781.2,1982.1,2126.7,2344.8,2493.8,2727.8,2843.4,3130.9,3250,3454.8,3567.5,3902,4015.7,4187.1,4288.2,4364.6,4484.2,4641.1,4762.9,4871.1,4973,5057.8,5165.9,5242.7,5361.2,5645.5,5811.4,5918.7,6091.5,6263.9,6467.7,6591.1,6702.4,6806.3,6893.1,6997.9,7075.6,7197.8,7380.4,7506,7616.3,7698,7813.8,8158.9,8344.6,8444.8,8625.1,8729.3,8806.3,8927.5,9096,9217.2,9328.8,9433.7,9518.2,9625.8,9702.5,9825.5,10108,10316,10420,10571,10679,10892,10996,11077,11192,11364,11491,11604,11707,11795,11905,11984,12108,12448,12655,12758,13211,13397,13506,13715,13818,14000,14163,14336,14459,14572,14677,14767,14877,14958,15076,15449,15614,15720,15903,16066,16281,16712,16832,17048,17173,17371,17494,17709,17822,17994,18100,18177,18297,18487,18612,18725,18828,18918,19025,19104,19230,19859
1612,1826.3,2023.5,2175.8,2381.2,2541.6,2768.4,2910,3174.6,3308.6,3496.2,3634.7,3943.3,4080.8,4240.4,4346.8,4420.2,4563.5,4712.7,4832.5,4934.2,5028.5,5114.7,5226.7,5301.1,5439.6,5694,5854,5987.2,6208.8,6343.3,6538.8,6663.9,6768.1,6864.3,6951.4,7058.8,7127.1,7276,7454.6,7578.6,7682.8,7741.4,7889.2,8209.2,8383.3,8507.9,8683.4,8793.9,8865.9,9007.4,9170.1,9290.9,9396,9490.8,9573.6,9692.6,9759.4,9906.5,10163,10358,10493,10615,10747,10949,11058,11126,11269,11438,11565,11670,11764,11856,11972,12042,12190,12501,12695,12836,13260,13440,13573,13757,13886,14106,14239,14411,14534,14637,14735,14826,14935,15008,15152,15500,15658,15797,16012,16144,16355,16751,16895,17085,17240,17415,17566,17752,17894,18053,18159,18232,18377,18562,18687,18788,18888,18976,19090,19159,19304,19907
