l,l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,w
1986.4,2330.9,2635.6,2758.8,2908.4,3149.5,3398.3,3543.5,3726.2,3844.9,4065.2,4192,4415.1,4546.7,4707.1,4821.2,4987.9,5088.6,5162.8,5278.3,5445.1,5560.3,5668.2,5743.1,5863.8,6143.1,6284.2,6389,6540.8,6648.8,6798.4,6986.8,7166.3,7282.7,7391,7467.5,7583.6,7832.3,7986.3,8091.9,8241.6,8426.1,8600.9,8719.7,8832,8932.1,9018.4,9124.7,9200.1,9321.4,9511.4,9618.4,9785.9,9971.8,10138,10255,10365,10441,10559,10782,10899,11010,11111,11194,11299,11374,11518
2026,2369.1,2676.8,2803.9,2953,3199.5,3442.8,3603,3770.1,3912.9,4108.3,4256.9,4456.5,4606.8,4753.6,4893.4,5044.7,5152.9,5222.8,5362.5,5517.6,5633.1,5735.5,5805.3,5943.2,6202.3,6331,6460.2,6585.7,6722.5,6933.2,7064.6,7239.4,7357.8,7457.6,7522.8,7664.1,7888.6,8030.4,8164.4,8374.5,8505.2,8678.3,8793.7,8894.2,8989.3,9078.9,9190.5,9262,9398.5,9558.6,9691.5,9921.1,10051,10212,10331,10432,10499,10639,10856,10973,11076,11168,11256,11368,11432,11650
