i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1009,1364.7,1517.3,1695.7,1820.6,1969.2,2069.1,2142.6,2258.8,2442.5,2565.6,2670,2770.4,2854.8,2958.2,3033.7,3148.8,3530.6,3703.6,3809.4,3975.4,4145.3,4312.3,4435.2,4543.4,4643.6,4729.8,4833.9,4909.2,5025.5,5228,5348.5,5459.1,5560.8,5646.9,5751.3,5826.8,5946.1,6238.9,6427.6,6537.1,6688.9,6870.7,7065.6,7185.3,7293.8,7369.8,7485.9,7689.2,7806.9,7919.5,8018.9,8105.2,8210,8285.3,8411.1,8700.9,8879.7,8981.7,9138.6,9240,9316.1,9436.4,9779.7,9933.5,10038,10186,10378,10556,10683,10794,10895,10982,11089,11164,11286
1055.6,1401.8,1567,1734.7,1882.4,2024.8,2128,2199.7,2333,2512.9,2634.2,2732.2,2824.8,2911.4,3020,3088.9,3223.6,3580.2,3745.3,3875.5,4090.8,4223.1,4383.7,4505.3,4608.9,4702.5,4789.4,4897.2,4966.2,5104.7,5298.6,5419.9,5520.2,5616.9,5705.5,5816,5888,6023.9,6289.5,6467.8,6599.7,6817.6,6952.3,7137.3,7259.1,7359.8,7431.8,7567.4,7757.5,7879.4,7982.8,8077.5,8160.7,8272.1,8344.5,8489.2,8758.1,8922.6,9043.4,9197.3,9302.7,9375.9,9513.2,9831.9,9978.9,10110,10326,10458,10628,10759,10859,10954,11043,11152,11222,11364
