l,i,l,i,l,i,i,w,r,n,n,a,b,r,l,i,l,i,l,i,l,i,f,a,b,r,l,l,i,w,r
1979.8,2156.8,2298.7,2397.7,2550.2,2648.7,2912.3,3074.2,3254,3395.3,3511.7,3622.3,3698.6,3817.5,4182.3,4286.2,4475,4581.8,4753.1,4861,5056.6,5162.4,5340.5,5447.9,5526.1,5641.7,5732.4,6372.4,6738.8,6892.1,7086.4
2034.2,2208.5,2335,2457.8,2582.1,2707,2973,3191.4,3326.9,3467.6,3586.3,3687,3758.9,3897.4,4226.1,4357.1,4521.8,4646.7,4801.3,4930.8,5102.9,5228,5394.7,5511.1,5579.9,5720.5,5771.6,6411.2,6771.1,7024.7,7161.5
