l,i,l,i,l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l
1566,1788.5,1981.8,2139.2,2383.9,2521.3,2723.6,2865,3029.2,3207.6,3342.4,3582.6,3706.8,3854.3,3953.6,4032.9,4146.2,4336.2,4458.5,4567.2,4667.1,4754.1,4858.9,4936.5,5053.1,5342.9,5488.8,5593.7,5746.5,5935.4,6138.7,6266.2,6374.4,6450.6,6569.8,6753.5,6875.1,6984,7086.6,7170.6,7277.7,7353.7,7474.7,7791.8,7955.3,8060.8,8223.8,8405,8582,8703.7,8814,8892.5,9009.5,9151.7,9269.4,9349,9466.6,9768.2,9955.2,10058,10240,10344,10497,10695,10877,10998,11109,11209,11295,11402,11479,11598,11894,12059,12164,12322,12426,12501,12620,12806,12927,13040,13141,13228,13334,13412,13531,13826,14063
1598.6,1830.2,2023.4,2185.5,2426.1,2572.8,2762.5,2906.6,3083.7,3246.5,3396.9,3624.5,3762.6,3906.8,4012,4088.8,4220.9,4407.2,4529,4628.4,4724.2,4808.2,4919.7,4990.3,5123.7,5392.4,5530.3,5661.4,5877.9,6010.7,6210.9,6335.8,6432.5,6506.5,6648.8,6826.7,6944.5,7050.4,7142.6,7225.8,7336.4,7407.5,7549.3,7844.9,7997.6,8126.7,8349.2,8482.2,8653.4,8775.4,8873.3,8945.1,9088.3,9228.1,9327.3,9399.4,9542.8,9822.9,9997.1,10131,10282,10415,10639,10772,10950,11071,11172,11266,11350,11462,11536,11676,11947,12104,12225,12380,12488,12557,12698,12878,13002,13105,13200,13290,13398,13464,13610,13883,14101
