l,i,l,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1482.8,1771.9,1984,2132,2299.1,2497.8,2618.5,2897,3025,3212.1,3455.3,3583.7,3800.6,3917.5,4109.3,4221.8,4479.9,4582.5,4743.2,4841.9,4915.1,5027.1,5213.3,5330.6,5436.6,5536.4,5621.1,5724.6,5796.1,5912.9
1515.4,1817,2022.1,2169.4,2350.9,2536.6,2676.7,2938.1,3066.9,3264.9,3495.6,3637.3,3839.1,3980.5,4149.9,4288.5,4517.1,4648.4,4799.7,4900.6,4971.6,5105,5285,5401.2,5500.6,5591.3,5680.7,5782.9,5853.5,5989.8
