i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1105.3,1285.4,1412.8,1637.1,1758.8,1907.6,2094.7,2302,2422.9,2529.3,2628.1,2713.9,2822.1,2896.8,3014.2,3224.6,3352.7,3459.6,3559.9,3647.3,3748.4,3824.1,3943.5
1151.7,1325,1470.9,1676.2,1825.9,2047.4,2170.8,2373.1,2490,2593.2,2684.6,2768.9,2881.3,2953.4,3091.1,3294.6,3421.6,3520.4,3613.8,3699.4,3809.1,3878,4018.3
