l,l,i,l,i,l,i,l,i,l,i,l,i,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1984.1,2164.3,2365.8,2518.5,2678,2846.2,2988.2,3179.7,3301.8,3500.8,3622.8,3865.1,4009,4335.9,4559.5,4706,4908.7,5033.7,5221.9,5321.7,5464.5,5643.6,5826.8,5944.2,6046.2,6118.8,6231.8,6427.1,6539,6647.2,6746,6829.9,6935.4,7009.4,7125.4,7466.1,7612.6,7714.6,7893.7,8056.2,8219.6,8332.2,8439.4,8513,8627,8821.2,8939.9,9046.3,9145,9229.8,9331.8,9405.9,9523.8
2017.6,2199.9,2410.2,2559.2,2727.1,2882.5,3035.8,3217.3,3360.1,3538.4,3684.4,3900.3,4063.2,4384.6,4599.8,4759.4,4946.8,5098.5,5264.5,5389.8,5591.3,5718.5,5898.8,6010.5,6112.9,6174.5,6311.7,6497.8,6612.3,6711.1,6800.9,6884.5,7000.6,7066.3,7202,7518.5,7658.2,7782.4,8006.5,8132.9,8292.5,8403.3,8504.8,8574.4,8703.3,8892.3,9009.4,9111.7,9200.8,9283.5,9395.6,9460.9,9600.1
