l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1360.9,1478.6,1664.2,1778.8,1977.9,2075.2,2238.5,2339.8,2414.5,2532.6,2713,2835.2,2944.2,3045,3130,3232.8,3309.3,3426.3,4102.1,4220.7,4416.8,4520.8,4767.1,4880.6,5080.8,5194.2,5349.4,5539.8,5726.1,5849.2,5956.8,6057.9,6144.8,6250,6326.8,6445.4
1396.1,1533.2,1706.2,1836.3,2018.2,2147.5,2287.3,2401.4,2474.2,2609.4,2786.3,2906.8,3008,3099.4,3189.1,3299.6,3368.1,3504.9,4139.1,4273.5,4456.4,4587.3,4807.4,4937.5,5121.5,5258.1,5483.9,5615.8,5797.3,5919,6020.7,6115.9,6201,6313.7,6379.3,6522.4
