l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r
1989.5,2144.7,2382.3,2579.2,2833.3,3044.2,3211.5,3438.2,3600,3776.4,3968.2,4173.2,4344.3,4530.6,4649.2,4817.5,4914.9,4989.2,5103.3,5290.3,5407.5,5512.1,5610.8,5694.8,5798.3,5872.9,5989.3,6459.6,6632.4,6749.9,6909.7,7008.8,7084.2,7199.8,7396.5,7515.8,7626,7726,7811.1,7915.2,7991.1,8109.5,8604.6,8725,8875.5,9058.5,9275.3,9389.5,9499.3,9573.4,9691,9893.7,10008,10117,10215,10298,10404,10478,10600,10915,11125,11227,11390,11492,11565,11683,11858,11989,12098,12197,12282,12387,12463,12582,12884,13067,13163,13351,13451,13528,13646,14199,14325,14553,14658,14832,14994,15183,15307,15416,15493,15611,15808,15927,16032,16134,16218,16325,16402,16526,17382,17564,17751,17879,18028,18179,18395,18507,18712,18829,18979,19164,19342,19463,19573,19673,19758,19866,19942,20059,20250,20372,20482,20558,20678
2020.6,2184.3,2419.8,2614.9,2881.3,3080.1,3257.6,3475.8,3648.6,3815.9,4018.6,4213.4,4395.1,4571.9,4702.7,4864.2,4974.3,5048.3,5176.7,5362,5478.6,5574.3,5663.8,5752.4,5857.8,5932.4,6065.1,6511.8,6670.3,6814.2,6967.4,7071.1,7143.9,7275,7469.5,7586.1,7688.8,7783,7869.8,7978.5,8050.9,8185.5,8644.3,8796.8,9006,9131.7,9346.6,9461.9,9563,9629.8,9764.2,9965.3,10083,10181,10268,10359,10469,10539,10677,10969,11169,11306,11447,11556,11626,11764,11931,12060,12161,12254,12337,12453,12519,12659,12941,13110,13241,13409,13516,13589,13724,14238,14378,14594,14726,14939,15070,15257,15381,15482,15550,15688,15880,15997,16097,16190,16279,16388,16459,16603,17419,17613,17793,17947,18070,18236,18436,18577,18756,18900,19113,19242,19416,19536,19638,19730,19819,19930,19999,20135,20325,20448,20551,20622,20758
