l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1975.3,2119,2276.4,2389.1,2602.8,2708.3,2872.8,3063.4,3277,3397.6,3507.4,3609.4,3694.9,3798.1,3876.2,3994.9,4197.6,4300.9,4461.9,4650,4843.9,4962.6,5075.7,5176.3,5263.1,5369,5443.2,5564.8,5837.6,6003.5,6106.3,6267.2,6456,6645.6,6767.8,6881.6,6982.1,7070.4,7175.8,7254.4,7373.9,7625.8,7756.3,7861.5,8017.9,8201.1,8383.7,8505.8,8618,8720.9,8807.7,8915.3,8995,9114.8,9397.4,9546.2,9652.1,9810.2,9913.1,9988,10110,10265,10388,10501,10604,10692,10801,10881,11006,11810,11971,12077,12226,12331,12503,12606,12682,12802,12982,13106,13217,13319,13406,13514,13592,13714,14075,14235,14341,14498,14608,14779,14884,14960,15085,15432,15604,15707,15867,16066,16251,16371,16487,16591,16679,16788,16866,16988
2009.6,2168.4,2319.6,2457.1,2641.4,2769.2,3012.2,3140.8,3348.2,3467.7,3567.8,3665,3751.3,3861.3,3937.5,4071.3,4239,4370.3,4596.7,4728.8,4915.6,5035.8,5140.5,5234.2,5323.1,5431.4,5507.3,5643.7,5898.2,6045.6,6173.2,6404.8,6536.2,6720.5,6841.2,6942.8,7038.9,7131.1,7239.1,7314.8,7452.3,7686.2,7803.3,7927.6,8147.3,8279.2,8458.9,8578.6,8684.1,8780.3,8869,8980.3,9051.4,9190.8,9452.9,9588.8,9724.6,9868,9977.8,10046,10191,10341,10462,10566,10665,10755,10868,10947,11084,11859,12016,12147,12270,12399,12557,12670,12740,12880,13057,13181,13281,13379,13469,13577,13647,13794,14132,14282,14416,14548,14685,14841,14952,15025,15164,15484,15643,15771,16003,16142,16327,16448,16551,16650,16740,16853,16921,17068
