l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1998.8,2158.2,2315.5,2422.1,2626.4,2727.7,2879.8,2988.9,3125.1,3321.5,3488.1,3606.9,3717.9,3791.9,3911.5,4116.2,4238.9,4349.1,4450.2,4536.6,4641,4715.6,4837.6
2037.2,2209.2,2357.6,2490.2,2669.8,2798.3,2928.4,3056.8,3269.1,3396.9,3561.3,3683.9,3780.6,3850.1,3988.8,4193.9,4316,4412.2,4504.7,4589.4,4707.1,4775.1,4913.6
