l,i,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1990.4,2225.7,2390.3,2529.8,2673.2,2871.8,3011.2,3204.3,3338.2,3476.6,3589.8,3785.3,3926.3,4032.3,4215.6,4384.3,4506.5,4611.5,4685.7,4798.5,5089.6,5259.9,5363.6,5532.7,5717.8,5897.7,6012.1,6122.1,6198,6313.6,6459.8,6576.2,6683.8,6783.4,6868.1,6973.2,7046.6,7165.4,8020.3,8167.1,8325.4,8461.3,8753.5,8918.4,9021.1,9170.3,9351.3,9497.1,9613.2,9723.5,9822.4,9906.7,10012,10087,10200,10357,10476,10587,10662,10780,10990,11107,11218,11318,11406,11510,11585,11703
2025.8,2275,2430.4,2569.9,2721.3,2910.1,3061.4,3243.4,3393.1,3517.1,3654.7,3824.1,3958.8,4161.1,4290.3,4457.8,4574.2,4674.2,4744.8,4876.5,5144.8,5302.4,5434.7,5664,5793.4,5968.8,6084.3,6185.1,6257.8,6392.1,6532.1,6645.7,6748.8,6841.5,6923.6,7035.1,7108.1,7244.3,8054.6,8221,8369.5,8498.2,8813.9,8961.3,9100.1,9297.2,9428.6,9568,9684.9,9786.6,9878.3,9966.4,10073,10141,10278,10433,10548,10652,10719,10858,11063,11181,11282,11375,11466,11576,11643,11782
