l,l,l,i,l,i,l,i,l,i,l,i,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r
1982.2,2406.3,2920.9,3097.6,3272.7,3389.8,3588.2,3694.9,3970.1,4082.6,4259.8,4369.9,4805.3,4973.4,5084.5,5260.6,5366,5444,5565.6,5750.8,5870.5,5981,6059.7,6179.6,6429.1,6580.3,6682.7,6861.5,6995.9,7122.7,7310.8,7459.8,7594.4,7703.2,7778.8,7901.1,8183,8337.7,8445.3,8606.7,8712.4,8789,8910.1,9061.4,9183.2,9297.5,9374.2,9493.4,9676.6,9803.5,9917.6,10021,10110,10218,10296,10418,10716,10859,10963,11139,11311,11522,11655,11766,11869,11959,12069,12148,12266,12462,12587,12700,12777,12902
2018.3,2443.2,2957.4,3147.3,3313.4,3449.4,3627.9,3756.8,4012,4146.9,4302.6,4433.2,4860,5014.8,5156,5315.8,5426.3,5501.5,5642,5818.3,5940.7,6041.9,6120.8,6259.5,6483.5,6622.4,6746.7,6902.1,7040.8,7248.5,7387.6,7535.4,7663.1,7768.7,7836.7,7979.7,8229.6,8381.8,8512.5,8665.9,8775.6,8846,8989,9134.8,9255.3,9362,9430.1,9574.6,9753.2,9879.6,9984.5,10079,10170,10284,10352,10499,10775,10901,11034,11253,11392,11596,11728,11830,11927,12016,12136,12206,12347,12536,12659,12767,12838,12982
