l,i,l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1986.9,2340.6,2531.9,2682.6,2848.7,3083.4,3288.5,3452.5,3728.4,3923.9,4120.5,4239.4,4474.6,4631.5,4852.2,4969.2,5108.7,5290.2,5466.3,5583.3,5686.2,5760.6,5875.6,6537.1,6705.3,6967.7,7092.9,7307.5,7416.7,7657.5,7769.6,7919.2,8110.3,8308.7,8427.4,8533.2,8607.2,8720.1
2021.6,2378.9,2570.7,2716.9,2885.8,3134.1,3328.9,3506.7,3764.8,3976.5,4161.7,4309.4,4516.5,4690.4,4891.4,5045,5238,5365.2,5538.4,5649.6,5753.9,5817,5951,6572.5,6766.1,7009.3,7154.4,7348.8,7491,7699.2,7847,8057,8182.9,8380,8497,8593.9,8667.6,8796.1
