l,l,l,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1005.8,1207.7,1351.8,1610.5,1779.3,1988.8,2094.9,2255.7,2354.3,2427.6,2537.6,2721,2838.1,2944.4,3017.8,3132.5,3307.6,3424.2,3529.8,3602.3,3716.7,3897.4,4015.8,4122.8,4220.6,4303.5,4406.3,4479.2,4597.5,5435.1,5534.6,5683.5,5860.7,6041.9,6154.8,6264.1,6361.8,6444.8,6545.8,6621.5,6736.7,6910.7,7025.6,7133.6,7231.9,7316.3,7419.1,7494.7,7609.6,7756.8,7869.6,7980.3,8058,8171.6,8422,8578.3,8677.6,8820,9010.9,9165.8,9283.8,9391.7,9468.7,9582.8,9739.9,9860,9969.1,10068,10152,10256,10332,10446,10723,10884,10984,11129,11320,11489,11610,11719,11817,11903,12005,12079,12199,12797,12903,13125,13225,13508,13612,13775,13875,14080,14179,14326,14510,14663,14781,14892,14991,15077,15180,15255,15372,15540,15663,15772,15846,15963,16428,16588,16688,16935,17040,17181,17280,17444,17547,17624,17740,17909,18033,18141,18241,18329,18436,18511,18632,19062,19169,19391,19491,19733,19837,20085,20192,20417,20536,20717,20821,21707,21830,21988,22093,22246,22351,22547,22649,22853,22954,23113,23296,23463,23576,23687,23762,23881,24060,24187,24300,24398,24485,24591,24666,24785
1041.9,1242.8,1389.5,1648.4,1823.8,2025.2,2158.4,2310.1,2412.3,2477.1,2611,2790.9,2910.9,3004.8,3078.6,3210.1,3378.5,3498.1,3589.1,3661.9,3796.4,3966.8,4084.9,4186.4,4274.7,4361.4,4463.2,4535.5,4671.6,5471.6,5598.1,5809,5938.7,6111.4,6229,6325,6417.8,6504.1,6609.8,6672.5,6815.9,6983.1,7098.5,7197.1,7287.8,7374.4,7483,7549.3,7687.3,7828,7944,8043.6,8110,8245.9,8471.2,8619.3,8746,8962.5,9088.1,9239,9355.9,9458.4,9527.6,9663.7,9813.6,9932.3,10033,10124,10208,10320,10390,10525,10772,10928,11053,11270,11399,11562,11682,11783,11873,11961,12070,12137,12278,12835,12966,13166,13291,13550,13680,13817,13942,14124,14254,14460,14585,14737,14854,14953,15047,15135,15243,15313,15450,15614,15737,15835,15907,16040,16479,16628,16763,16977,17110,17228,17350,17505,17611,17678,17820,17983,18106,18208,18299,18389,18499,18574,18710,19102,19238,19431,19556,19776,19907,20128,20270,20464,20609,20766,20897,21748,21882,22036,22157,22291,22421,22592,22727,22901,23026,23246,23375,23539,23651,23747,23820,23958,24135,24263,24362,24455,24539,24650,24724,24861
