l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r
4159.2,4324.2,4497.1,4622.8,4759.2,4866.7,5048.9,5181.5,5302.6,5478.2,5614.9,5726.5,5829.1,5904.6,6019,6186,6302.2,6409.4,6509.3,6591.8,6695.8,6770.7,6883.6,7135.4,7295.6,7398.3,7544.5,7727.3,7918.2,8038.5,8147,8220.3,8337
4196.8,4370.7,4535,4679.2,4801,4937.3,5091.2,5218.5,5426.9,5551.3,5684.9,5795.8,5891,5965.4,6095.8,6258.9,6373.2,6474.6,6562.7,6651.8,6760.4,6825.1,6959.3,7181.8,7337.8,7480.3,7676.3,7801.1,7991.9,8110.1,8212.3,8278.7,8416.4
