l,l,i,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1323.8,1711.6,1855.2,1985.4,2108.7,2287.7,2508.4,2611.3,2845.9,2975.5,3179.6,3299.6,3515,3637.3,3804.3,3980.6,4165.8,4281.9,4388.7,4465.8,4583.5,4858.7,5039.7,5148.6,5363.9,5463.5,5540.4,5657.8,5961.3,6120.3,6227,6398,6499.2,6577.4,6693.6,6889.6,7011.3,7121.8,7223.1,7309.7,7417.1,7494.5,7612.6,8035.1,8175.5,8280,8439.5,8622.7,8985,9103.9,9237.3,9338.8,9485,9606.4,9765.4,9874.4,10028,10226,10442,10558,10671,10773,10860,10965,11041,11166,11357,11484,11594,11697,11786,11895,11973,12095
1360.3,1752,1905.2,2025.9,2148.4,2338.2,2545.6,2682,2883.9,3031.7,3222.6,3365.7,3555.1,3709.5,3923.7,4057.6,4237.3,4352.4,4454.3,4523.8,4662.1,4912.8,5082.1,5224.1,5417.3,5526.6,5593.7,5736,6008.2,6164.7,6302.2,6455.6,6566.5,6632.8,6773.4,6962.8,7082.9,7186.1,7281.8,7369.6,7481.8,7551.8,7693.3,8088.3,8221.4,8358.4,8570.4,8703,9024.5,9168.9,9280.4,9410.1,9532.4,9674.4,9813,9949.7,10170,10306,10515,10633,10738,10831,10920,11028,11101,11245,11431,11557,11660,11757,11848,11959,12025,12175
