l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
2161.9,2972.3,3185.5,3546.8,3711.5,3893.2,4044.1,4250.2,4350.7,4630.9,4747.2,4904.8,5001.3,5073.8,5185.8,5359.5,5479.6,5584.2,5658.1,5772,5974.8,6092.8,6198,6296,6379.8,6484.5,6558.6,6674.1,6877.8,6998.8,7107.2,7181.8,7297.8,7598.5,7751.6,7860,8007,8197.3,8399.8,8516.2,8622.8,8705.7,8816.9,9017.6,9135.1,9244.5,9343.2,9427.6,9531,9602.7,9721.6,10069,10266,10369,10590,10693,10850,10949,11026,11140,11347,11479,11590,11690,11775,11878,11958,12073,12878,13025,13193,13297,13438,13545,13767,13874,14047,14148,14224,14339,14523,14643,14752,14851,14937,15042,15119,15237
2193.4,3010.2,3223.5,3584.2,3747.6,3931.6,4098.8,4289.6,4423.1,4671.1,4801.9,4956.9,5063.5,5132.4,5262.5,5431,5550.3,5648.7,5717.7,5850.2,6041.5,6162.8,6262.5,6351.3,6436.6,6549.7,6617.6,6753.5,6949.7,7071.3,7170.5,7241.4,7375.3,7657.6,7799,7938,8145.4,8276.4,8468.1,8590.9,8690.8,8762,8898.2,9089.8,9209.1,9309.4,9401.5,9486.7,9596.2,9669,9799.7,10122,10310,10438,10632,10761,10907,11013,11084,11222,11419,11554,11659,11750,11834,11945,12017,12156,12914,13077,13238,13367,13484,13617,13813,13948,14104,14215,14284,14420,14595,14719,14819,14911,14996,15113,15178,15317
