l,l,l,l,l,l,l,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1085,1245.8,1399.6,1596.3,1982.9,2192.3,2560.4,3274.9,3613.9,3737.7,3865.9,4012.7,4136.8,4331.2,4443.9,4624.2,4728.2,4873.6,5056.8,5230.1,5343.5,5446.5,5517.2,5633.9,5793.1,5905.9,6013.6,6109.9,6190.9,6291.9,6361.8,6477.2,6661.2,6772.2,6879,6954.5,7069.4,7318.2,7449.6,7549.3,7687.7,7873.4,8024.1,8142.2,8247.2,8318.1,8434.2,8578.2,8691.8,8800.9,8899,8981.6,9082.4,9154.6,9270,9562,9731.3,9831,9975.8,10162,10311,10427,10538,10612,10724,10888,11002,11111,11186,11300,11690,11859,11959,12104,12285,12459,12572,12682,12755,12869,13012,13129,13237,13335,13419,13521,13593,13711
1117.4,1283.4,1442.1,1640.2,2014.3,2224.4,2598.1,3325.3,3654.2,3783,3919.8,4058.6,4200.3,4378.6,4507.6,4670.3,4806.1,5006.2,5133.1,5300.2,5411.6,5508,5580.2,5711.6,5865.8,5977.8,6076.2,6165.9,6250.4,6355.3,6423.7,6553.9,6732.2,6843.2,6941.5,7016.2,7144.4,7374,7494.7,7622.5,7820.9,7948.9,8100.5,8215.3,8311.5,8380.3,8512.8,8652.5,8766.6,8864.5,8953.7,9040.2,9145.6,9218.1,9347.7,9621.8,9780.7,9906.1,10112,10239,10388,10502,10595,10658,10804,10964,11077,11169,11232,11378,11748,11908,12036,12236,12365,12534,12645,12739,12805,12953,13089,13204,13302,13391,13475,13586,13656,13789
