l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1992.4,2157.3,2298.8,2494.8,2612.3,2810.9,2933.4,3136,3244.9,3384.8,3567.6,3747.1,3863.2,3970,4044,4162.4,4471,4624.1,4728.9,4877,5057.4,5207.9,5321,5428.6,5506.1,5618.6,5837.7,5977.8,6084.3,6237.3,6423.1,6587.5,6707.8,6815.2,6891,7008.9,7156.9,7278.1,7387.4,7486.2,7571.2,7676.2,7750.9,7867.6,8037.5,8164.2,8273.1,8371.6,8458.2,8562.7,8639.2,8756.5,8945.2,9063.4,9175.3,9275.2,9361.6,9465.8,9543.7,9661.2,9907.3,10057,10159,10311,10497,10647,10766,10877,10980,11067,11172,11250,11369,11538,11663,11772,11850,11969,12166,12284,12397,12496,12582,12687,12764,12882
2030.4,2196.3,2345.4,2540,2677.1,2853.9,2997.4,3176.7,3317.5,3510.9,3643.2,3817.7,3929.8,4029.3,4104,4238.5,4544.7,4663.8,4790.5,5003.8,5132.2,5277.5,5392.7,5490.6,5559.5,5696.5,5891.8,6022.9,6150,6368.8,6501.8,6660.7,6779,6880.4,6947.3,7087.8,7231.9,7349.2,7450.6,7543.7,7625.6,7738.8,7807.8,7945,8112.3,8234.2,8337.6,8430.2,8513.6,8626,8696.2,8834.7,9017.8,9140.1,9240.8,9333,9420.6,9529.5,9600.9,9737.5,9966.7,10104,10228,10443,10575,10721,10838,10945,11037,11124,11235,11307,11448,11614,11739,11840,11907,12049,12239,12359,12460,12553,12642,12753,12820,12961
