i,l,l,i,l,i,l,i,l,i,l,i,l,l,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i
1764.5,1988.5,2125.3,2314.9,2509.3,2684,2895.7,3036.9,3257.6,3416.6,3614,3759.3,4041.5,4176.7,4288.2,4403.1,4626.6,4740.8,4924.2,5025.4,5100.4,5215.9,5396,5516.3,5625.8,5701.7,5815.8,6033.3,6150.8,6261.7,6362.4,6447.9,6553,6629.4,6748.2,6990.2,7138.4,7247.2,7409,7517.1,7672.6,7858.1,8048.8,8166.3,8274.8,8349.7,8468.1,8658.1,8777.3,8888.9,8989.9,9074.7,9183.3,9258.1,9380.8,9664.5,9818.9,9928.7,10147,10255,10505,10610,10765,10951,11139,11257,11368,11444,11563,11741,11866,11976,12079,12166,12274,12352,12474,12832,13005,13116,13267,13465,13637,13755,13868,13971,14058,14165,14244,14363,14669,14817,14925,15170,15299,15462,15568,15723,15915,16082,16202,16316,16394,16513,16730,16853,16968,17070,17157,17265,17341,17463,17942,18093,18233
1810.5,2029.7,2165,2362.4,2550,2733.9,2935.2,3089,3294.8,3469.9,3657.9,3822.8,4081.4,4218.8,4328.9,4464.8,4667.2,4803.8,4977.3,5087.8,5163.6,5291.5,5470.1,5587.9,5690.7,5760.9,5895.6,6105.7,6221.8,6326.7,6418.2,6508.2,6617.6,6689.9,6824.2,7047.8,7183.2,7317.4,7453.6,7588.8,7804,7935,8120.4,8238.3,8340.5,8411.1,8549.2,8732.7,8851.4,8953.1,9048.3,9130.5,9247.9,9315.4,9460.9,9718.7,9864.2,9998.1,10190,10324,10547,10681,10900,11030,11214,11332,11434,11500,11644,11818,11939,12042,12137,12228,12340,12406,12554,12885,13048,13182,13409,13546,13711,13831,13934,14030,14118,14229,14301,14444,14724,14862,14993,15215,15361,15506,15637,15858,15993,16157,16277,16382,16455,16593,16804,16929,17031,17126,17217,17330,17405,17546,17990,18137,18265
