l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1122.4,1289.6,1493.6,1639.9,1792.5,1978,2079.4,2154.1,2271.6,2464.2,2589.6,2700.4,2800.9,2886.1,2993.9,3071.3,3192.4,3601.4,3776.3,3926.9,4058.9,4251.1,4485.7,4611,4725.3,4825.8,4912.6,5018.6,5097,5218.4,5500.3,5673.1,5777.9,5926.8,6116.7,6333.9,6455,6564.1,6664.8,6752.7,6860.8,6937.9,7059,7366.8,7570.4,7674.1,7847.5,7950,8025.8,8146.6,8321.4,8441.1,8551.2,8655,8743.1,8853.1,8928.8,9052.1,9466.7,9637.2,9743.5,9903.7,10097,10346,10486,10596,10698,10785,10894,10969,11094
1160.8,1339.1,1534.4,1681.1,1844,2025.5,2135.5,2209.4,2345.8,2534.6,2659.4,2760.7,2857.5,2940.6,3053,3124.9,3265.3,3650.4,3815.5,3957.7,4197.8,4326.9,4560.3,4682.9,4786.5,4880.1,4965.8,5083.3,5152.6,5294.8,5553.7,5715.2,5842.8,6058.7,6195.8,6405.3,6523.6,6626.3,6719.9,6811.6,6922.1,6988.6,7131.4,7420.4,7612.8,7745.2,7900.6,8010,8086.1,8224.2,8393.2,8513.8,8617.1,8712.9,8798.2,8913.7,8987.3,9129.8,9519.1,9680.6,9815.3,10041,10173,10417,10555,10660,10757,10839,10953,11026,11171
