i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1980.8,2156,2274.2,2459.6,2568.9,2711.1,2832.1,3075.6,3180.3,3329,3526.7,3711.8,3834.6,3943.1,4019.8,4139,4345.3,4473.2,4582.1,4685.9,4771.6,4881.2,4955.8,5076.3,5282.7,5407.2,5518.2,5623.3,5709.7,5820.3,5896.9,6018.7,6356.3,6509.4,6617.3,6859.8,6965.3,7129.5,7233.4,7310.7,7431.9,7602.1,7734.7,7849.5,7954.2,8040.5,8151.2,8228.7,8352,8737.9,8868,8975.5,9125.9,9326.6,9508.7,9630.3,9743.2,9848.2,9936.3,10046,10123,10245,10458,10567,10796,10908,11059,11257,11438,11559,11671,11749,11870,12092,12225,12337,12440,12528,12639,12715,12838
2015.7,2196.9,2336.7,2502.5,2641.2,2756.6,2903.3,3118.2,3248,3472.9,3605.6,3785.3,3908.4,4008.5,4081,4216.9,4419,4542.3,4649.1,4745.2,4835.2,4947.9,5018.9,5157.7,5358.7,5483,5587.4,5682,5773.1,5886.4,5958.2,6098.1,6417.6,6556.6,6687.7,6907.8,7040.3,7188.8,7300.6,7373.6,7513,7675.6,7811.3,7917.9,8013.8,8105.6,8220.7,8294.2,8432.2,8801.1,8917.7,9052.6,9272.2,9408.8,9583.8,9708.1,9812.3,9908.7,10000,10114,10188,10326,10510,10647,10849,10990,11206,11340,11515,11638,11741,11809,11953,12169,12297,12403,12500,12589,12708,12777,12921
