l,l,l,l,i,l,i,l,i,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1982.7,2287,2527.1,2680.5,2846.3,3072.8,3211.2,3402.3,3539.1,3777.2,3940.5,4080.6,4293.1,4410.4,4639.4,4741,4899.3,5084.9,5258.6,5374.9,5480.9,5554.2,5670.7,5852.7,5975.1,6081.6,6180.8,6266.1,6370.6,6443.6,6565,6815.5,6988.8,7096.1,7245.8,7434.5,7614.1,7732.6,7843.8,7918.6,8035.2,8380.5,8535.4,8638,8789.7,8980.6,9157.3,9274.1,9383.1,9455.8,9577.1,9751.3,9866.6,9977.9,10078,10165,10270,10344,10464,10761,10931,11038,11182,11370,11528,11647,11758,11832,11950,12219,12442,12549,12786,12896,13166,13263,13415,13518,13690,13790,13866,13988,14160,14277,14389,14464,14585,14979,15133,15242,15493,15596,15743,15850,15991,16093,16243,16434,16613,16732,16845,16920,17040,17221,17342,17455,17553,17640,17748,17824,17943,18133,18259,18372,18471,18560,18664,18742,18863,19244,19364,19566,19676,19884,20353,20470,20684,20792,21017,21131,21306,21415,21588,21689,21765,21884,22065,22185,22296,22377,22496,22805,22954,23061,23641,23763,23916,24025,24206,24314,24547,24651,24814,24920,25132,25241,25409,25511,25589,25707,25909,26029,26140,26243,26330,26439,26515,26636
2014.5,2328.8,2565.4,2720.1,2891.9,3110.2,3263.1,3441.2,3589.2,3817.9,3980.2,4136.5,4335.4,4469.7,4682.2,4807.7,5030,5161,5331.2,5446.1,5544.8,5616.8,5750.6,5926.1,6045.7,6144.4,6235.6,6322.7,6434.8,6503.3,6642,6867.7,7031.2,7170.3,7382.6,7510,7688.5,7807.2,7906,7973.2,8113.9,8438.2,8578.6,8707.2,8925.9,9059.1,9231.7,9345.8,9446.4,9511.7,9655.6,9826.8,9940.8,10043,10136,10221,10336,10402,10543,10816,10974,11102,11320,11449,11604,11722,11821,11890,12032,12271,12486,12618,12828,12964,13210,13336,13458,13587,13743,13854,13921,14064,14235,14352,14455,14522,14663,15032,15177,15308,15535,15669,15790,15926,16038,16165,16380,16513,16689,16808,16911,16982,17119,17298,17419,17516,17611,17694,17812,17881,18021,18208,18336,18437,18529,18613,18731,18802,18940,19282,19431,19609,19744,19924,20393,20533,20728,20855,21059,21190,21352,21483,21646,21756,21827,21961,22140,22261,22361,22433,22575,22860,22998,23130,23682,23816,23959,24095,24253,24380,24589,24723,24859,24995,25180,25317,25466,25576,25645,25786,25985,26105,26208,26301,26385,26504,26579,26714
