l,i,l,i,l,i,l,i,l,i,f,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1574.1,1754.8,1979.6,2128,2390,2586.6,2780.6,2942.8,3150.2,3266.2,3440.4,3562.8,3676.7,3781.7,3880.8,3966.3,4070.1,4143.9,4260.3,4704.4,4855.1,5078.2,5257.4,5446.2,5546.1,5620.7,5737.3,5929.6,6048.1,6156.8,6256,6342.5,6449.7,6523.6,6649.4
1607,1798,2017.5,2173.1,2426.8,2635,2819.4,2997.4,3192.8,3331.1,3503.7,3634.4,3746,3845.7,3936.7,4024.1,4128.8,4198.8,4338.1,4741.5,4907.7,5119.8,5315.7,5501.3,5604.3,5676.9,5816.5,6000.4,6118.1,6217.7,6312.4,6396.3,6509.7,6579.7,6723
