l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i
1985.9,2149.3,2306.8,2494.1,2664.8,2773.8,2974.1,3106.7,3315.8,3422.1,3575.6,3748.4,3928.1,4046.4,4152.6,4252.1,4335,4436.9,4512.2,4627.1,4883,5053.8,5160.1,5318.8,5499.2,5671.2,5787.1,5896.4,5994.5,6079.6,6183.3,6258.1,6374.5,6624.4,6800.2,6906.9,7074.9,7174,7249.3,7368.5,7540.7,7659,7769.9,7868.6,7955.8,8060.3,8135.6,8253.8,8459.7,8576.8,8683.7,8760.9,8874.8,9151.9,9319.7,9428.5,9578.7,9773.5,9956.3,10071,10180,10261,10377,10681,10859,10966,11123,11224,11299,11416,11606,11724,11833,11914,12031,12380,12554,12661,12833,12934
2021.1,2184,2343.4,2540.1,2700.6,2830.2,3008.1,3145.1,3349.9,3477.4,3694.8,3821,4000.1,4117.3,4215.2,4305.8,4391.3,4501.5,4572.5,4702.7,4932,5093.5,5227,5443.1,5571.9,5742.7,5855.5,5960.3,6052.1,6139.3,6247.5,6311.5,6449.1,6677.6,6842.7,6980.1,7126.1,7238,7305.9,7445.4,7613.5,7732.9,7833.1,7923,8013.4,8123.8,8194,8331.4,8532.4,8649.7,8749.2,8814.2,8953.8,9212.2,9363.8,9493.6,9720.5,9851.7,10030,10144,10245,10314,10454,10731,10902,11034,11181,11288,11355,11495,11680,11796,11895,11964,12106,12434,12598,12732,12876,13007
