f,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r
1986.5,2134.3,2334.1,2441.9,2602.1,2704,2782.6,2897.8,3157,3334.3,3440.8,3635.1,3743.8,3893.2,4085.6,4287.3,4405.1,4515.6,4590.4,4707.9,4862.5,4977.6,5089.1,5189.2,5273.9,5379.3,5455.6,5573.6,5862.8,6011,6120.4,6281,6461.1,6662.8,6783.2,6894.3,6995.7,7081.8,7188.3,7266.8,7383.2,7562.8,7682.7,7791.8,7894.6,7981.2,8086.5,8164.5,8283.4,8550.4,8711.1,8813.7,8989.2,9092.9,9168.4,9288.9,9484.9,9609.3,9721.5,9823.8,9909.9,10016,10094,10216,10508,10671,10779,10931,11116,11291,11407,11518,11621,11706,11813,11891,12010,12224,12347,12455,12558,12646,12754,12830,12953,13329,13537,13747,13856,14009,14110,14442,14571,14740,14843,15007,15112,15190,15308,15450,15572,15679,15760,15881,16072,16194,16306,16411,16499,16608,16686,16808,17111,17273,17388,17561,17758,17960,18080,18196,18273,18393
2047.2,2168.6,2375.2,2500.2,2654.8,2762,2836.9,2972.5,3204.9,3374.5,3504.8,3678.2,3816.3,4029.3,4159.3,4358.8,4476.1,4578,4647.5,4785.5,4936,5050,5151.6,5245.9,5333.8,5443.2,5517.6,5650.3,5917.9,6052,6191.3,6406.2,6540.1,6734.5,6856.8,6958.8,7053.2,7139.2,7252.9,7328.5,7463.2,7638.2,7755.1,7858.6,7952.8,8038.6,8152.3,8223.4,8359.1,8597.2,8752.1,8877.3,9045.7,9155.9,9224.9,9365.7,9557.4,9684.4,9787.7,9882.2,9972.8,10077,10146,10295,10561,10716,10844,11059,11192,11364,11483,11584,11680,11768,11878,11949,12090,12300,12419,12523,12616,12707,12820,12891,13034,13369,13594,13787,13923,14053,14180,14482,14632,14785,14917,15065,15177,15250,15388,15526,15645,15750,15816,15962,16146,16270,16374,16469,16554,16673,16747,16888,17170,17318,17461,17700,17836,18037,18158,18262,18334,18476
