l,l,i,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i
1971.7,2311.3,2431.8,2600.2,2702.8,2997.3,3175.4,3276.9,3437.6,3630.1,3845.3,3972.5,4082,4158.9,4276.5,4475,4602.3,4715.8,4816.7,4902.7,5011.5,5089.6,5210.9,5382.3,5503.8,5616.7,5694.8,5815.6,6103,6263,6365.5,6530.2,6722.9,7065.2,7222.6,7350.6,7494.7,7681.3,7841.3,7962,8071.8,8148.2,8271,8532,8681.8,8785,8962.4,9148.8,9329.7,9452.4,9565.5,9668.3,9757.9,9865.6,9944.5,10066,10365,10514,10619
2004.3,2347.8,2485.4,2635.5,2768.4,3038.1,3207,3336.8,3566.7,3699.5,3920.3,4042.8,4145.5,4215.1,4350.9,4547.7,4671.5,4775.2,4872.2,4960.7,5075.8,5146.8,5284.9,5452.9,5574.4,5681.8,5750.8,5893.5,6161.4,6304.1,6429.6,6666.7,6797.8,7125.3,7270.3,7395.4,7626.7,7760.8,7918,8030.7,8136.6,8203,8351.2,8588.5,8726.3,8857.4,9093.8,9228.2,9402.8,9527.1,9630.9,9726,9816.6,9931.5,10001,10143,10418,10559,10697
