l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1995,2219.6,2519.5,2656,2811,2924.1,3113.8,3230.2,3414.9,3524.5,3700.8,3820.4,3959.6,4141.1,4322.5,4436.6,4543.6,4622.8,4733.6,4882.6,5002.8,5112.1,5212.9,5297.4,5400,5473.8,5594.1,5895.9,6052.5,6154.6,6298.8,6487.3,6656.4,6773.9,6884.2,6958.9,7074.8,7240.2,7356.4,7466.5,7544.3,7663.3,7865.8,8044.3,8149.6,8364.3,8470.5,8647,8750.8,8889,9081.7,9237.7,9355.4,9462.8,9565.2,9648.8,9752,9825.5,9944.9,10129,10247,10359,10461,10547,10651,10726,10844,11133,11295,11399,11609,11707,12003,12107,12252,12432,12594,12714,12822,12899,13015
2037.2,2254,2558.8,2714,2856.1,2986.4,3156.8,3298,3466.6,3594.1,3749.6,3899.4,4086.1,4219.4,4393.8,4508.2,4608.6,4675.9,4813.7,4955.5,5075.6,5178.1,5269.7,5355.2,5465.2,5535.8,5670.4,5955.7,6097.7,6230.6,6431.9,6567.6,6731.7,6847.6,6949.9,7021.6,7158.3,7314.8,7430.5,7534.4,7605,7741.6,7930,8095.9,8229.2,8409.8,8545.1,8694.4,8820.9,9029.5,9160.7,9312.6,9426.7,9530.3,9621.3,9710.4,9816.2,9888.9,10028,10204,10324,10428,10520,10615,10716,10786,10923,11195,11340,11470,11651,11779,12051,12181,12384,12512,12667,12786,12888,12958,13094
