l,l,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1248.2,1973.8,2242.9,2343.9,2418.8,2536.1,2722.2,2843.5,2951.2,3026.7,3143,3476,3631.9,3738.6,3895.6,4075.8,4264.9,4381.9,4491.8,4568.9,4687.2,5069.9,5190.8,5399.2,5530.8,5748.1,5849.9,6003.3,6189.9,6371.3,6489.8,6598.4,6674.3,6792.9,7084.4,7218.7,7324.8,7473.3,7583.1,7794.7,7899.6,8051.6,8161.7,8314.4,8497.6,8653.5,8773.9,8882.3,8960.1,9077,9243.7,9372.8,9484.2,9586.5,9675.2,9779.6,9858.3,9978.8,10325,10475,10594,10759,10862,10936,11057,11260,11380,11495,11598,11685,11792,11870,11992,12705,12825,12994,13100,13266,13371,13449,13571,13756,13886,13995,14098,14185,14293,14371,14494,14696,14820,14935,15038,15126,15233,15312,15438
1281.2,2009.4,2293.7,2404.6,2475.7,2615.4,2794.9,2914.4,3015.3,3091.1,3223.1,3531.4,3674,3806.8,4022.7,4150.8,4337.4,4453.6,4557.1,4626.3,4766.2,5111.7,5252.6,5435.8,5593,5788.7,5923.9,6132.4,6266.4,6444.9,6562.3,6662.2,6732.3,6874.5,7142.6,7260.8,7395.6,7516.5,7657,7840.6,7976,8094,8232.1,8441.9,8577.1,8727.9,8847.8,8949.3,9017.6,9158.5,9319.8,9447.9,9551.7,9642.9,9734,9847.3,9914,10057,10377,10521,10667,10814,10928,10997,11138,11333,11455,11562,11655,11745,11858,11930,12073,12741,12884,13034,13170,13325,13433,13506,13647,13828,13959,14063,14157,14242,14359,14434,14570,14771,14895,15001,15096,15186,15300,15374,15515
