l,i,i,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1164.9,1281.2,1531,1843.5,1982.6,2082.2,2160.4,2277.9,2431.8,2550.2,2659.1,2759.7,2846.9,2954,3034.1,3150.9,3340.9,3463.3,3575.4,3677.5,3764.6,3871.8,3949.6,4071.2,4260.3,4387.1,4498.3,4600.2,4687.3,4797.5,4874.7,4995.5,5247.2,5427.2,5531,5715.2,5818.6,5987.2,6171.6,6324.8,6446.1,6554.5,6630.3,6749.7,7144,7289.5,7393.2,7540.4,7645.2,7803.3,7911.2,8059,8250.9,8409,8525.5,8639.9,8742.1,8831.2,8937.8,9013.4,9133.5,10037,10187,10318,10464,10569,10735,10836,11003,11106,11182,11299,11470,11590,11702,11778,11898,12110,12231,12343,12445,12533,12641,12720,12842
1197,1323.3,1587.4,1886.5,2032.2,2142.6,2206.1,2349.4,2503.3,2622.5,2725.1,2815.5,2904,3016.3,3085.1,3228.4,3414.7,3536.3,3640.5,3733.9,3823.8,3937.9,4008.4,4150,4336,4458.1,4563.1,4657.2,4744.8,4863,4929.9,5073.9,5306.7,5473.5,5604.7,5759.8,5884.3,6114.8,6251.1,6401.4,6516.3,6619.3,6684.8,6830.7,7192.1,7330.7,7458,7581.2,7715.5,7847.2,7972.9,8198.4,8329.6,8482,8602.7,8707.2,8800.1,8889.6,9001.3,9065.6,9212.3,10084,10224,10354,10506,10631,10774,10905,11056,11171,11237,11378,11544,11664,11768,11836,11980,12181,12307,12409,12502,12594,12707,12772,12920
