l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,l,i,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,f,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r
1978.7,2668.9,3014.2,3169.2,3341.3,3511.7,3733.5,3877.6,4066.6,4466.4,4601.1,4739.3,4885.5,5049.1,5231.9,5349.2,5454.1,5529.9,5646.9,5884.1,6064.7,6167.5,6380.4,6670.9,6801.2,6932.4,7032,7110.9,7227.9,7410.5,7520.2,7682.5,7783.4,7861.8,7977.3,8145.4,8264.9,8372.1,8471.1,8558.2,8662.3,8738.8,8856.2,9139.4,9292.5,9394.8,9597.3,9701.4,9872.2,10040,10210,10332,10440,10539,10626,10729,10806,10926,11212,11401,11506,11689,11788,11868,11987,12183,12302,12411,12510,12598,12703,12779,12897,13241,13414,13541,13769,14028,14128,14205,14325,14482,14602,14713,14814,14901,15006,15085,15204,15415,15521,15674,15776,15854,15975
2015.1,2703.7,3045,3201.7,3372,3549.9,3765,3909.1,4107.4,4504.1,4637.2,4770.5,4985.1,5113.6,5299.7,5413.2,5511.6,5583.4,5715.1,5927.8,6101.1,6229.9,6417.3,6704,6836.5,6981.7,7091.4,7159.3,7299.7,7449.4,7577.5,7727.9,7838.2,7914.4,8051.1,8215,8331.2,8434.7,8526.9,8615.7,8719,8789.5,8932.6,9187.8,9330.7,9456.2,9635.5,9764.8,9982.6,10113,10280,10400,10502,10594,10677,10787,10858,10999,11259,11441,11563,11744,11848,11923,12060,12251,12371,12475,12567,12651,12760,12833,12972,13292,13453,13577,13803,14079,14188,14256,14401,14554,14674,14775,14870,14952,15064,15136,15277,15455,15580,15730,15837,15909,16051
