i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i
1042.7,1286.6,1458.4,1659.8,1814.3,1991.7,2147.3,2303.1,2401.5,2473.3,2587.8,2789.4,2906.7,3014.2,3113.3,3197.9,3302.7,3377.2,3493.6,4143.6,4294.8
1096.4,1320.4,1505.2,1698,1868.8,2029.7,2207.5,2356.6,2458.7,2530.8,2663.8,2857.5,2978.3,3078,3168.2,3257.1,3360.2,3431.2,3568,4181.2,4348
