l,i,l,i,l,l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r
1984.5,2178.9,2388.6,2534.9,2709.5,2854.1,3020.2,3238.8,3382.3,3591.5,3834.9,3970.5,4168.5,4317.1,4460.9,4560.7,4636.1,4749.5,4938.8,5055.9,5164.7,5266.8,5351.9,5458.4,5533.5,5651.6,5924.8,6089.2,6191.7,6359.7,6460.4,6536.6,6656.1,6872.6,6996.1,7105.9,7206.5,7292.7,7399.8,7474.9,7592.7,7765.2,7886.6,7997.9,8074.3,8196.7
2023.5,2229.4,2425.9,2584.2,2748.9,2896.1,3074.8,3279.3,3422.1,3643.4,3874.1,4027,4209.7,4357,4512.9,4622.4,4690.7,4826.9,5011.3,5128.9,5230.1,5322.3,5411.1,5520.5,5592.8,5729.7,5981.8,6133.2,6262.3,6418,6526.3,6598,6734.7,6943.7,7069.1,7170.8,7263.3,7353.3,7463.9,7535.8,7672.7,7839,7960,8062.3,8134.7,8275.9
