l,i,l,l,l,i,l,i,l,i,l,i,l,l,i,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1995.2,2245.6,2405.2,2744.2,2867.2,3057,3314.3,3437.5,3720.8,3860.9,4016.2,4141.2,4529.7,4671.3,4785.2,5231.9,5393,5501.9,5655.8,5758.6,5832.4,5949.6,6123.9,6248.8,6357.5,6429.9,6555.2,6765.8,6888.2,7001.8,7105.3,7193.8,7299.4,7374.8,7494.2,7666.1,7789.8,7902.7,8007.1,8094.8,8204.2,8278.3,8405.6,8716.6,8824.1,8981.6,9178.3,9391.2,9514.7,9625,9701.2,9822.8,10023,10151,10262,10366,10453,10560,10636,10759,11156,11314,11417,11562,11755,11927,12054,12164,12268,12357,12465,12542,12666
2036.6,2298.3,2453.7,2790.2,2912.4,3120.8,3366.4,3508.2,3770.2,3925.4,4063.6,4213.7,4575.2,4717.1,4864.6,5299.7,5446,5580.6,5714.2,5824.5,5892.1,6032.3,6197.3,6320.3,6423.3,6497.9,6637.1,6838.6,6961.8,7068.2,7161.1,7254.7,7365.5,7435.1,7580,7740.8,7862.6,7970.1,8065.8,8157.6,8271.8,8347.4,8487.2,8767.4,8901.2,9125.2,9260.3,9467.1,9585.3,9693.4,9764.3,9904.2,10097,10225,10331,10425,10515,10628,10696,10838,11219,11364,11496,11705,11839,12005,12130,12235,12327,12417,12534,12599,12746
