l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1989.5,2149.9,2344.6,2506.9,2686.3,2812.8,2931.9,3222.8,3359.8,3540.1,3663.5,3870.9,4053.8,4214.9,4326.3,4474.5,4832.2,5017.5,5127.8,5269.8,5466.3,5648.7,5766.9,5874,5952.4,6067.1,6234.5,6359.1,6467.4,6567.1,6653.2,6758.2,6835.2,6953.2,7277.5,7441.7,7547.5,7701.3,7894.1,8140.8,8261.3,8371.1,8447.8,8565.8,8759.5,8882.7,8994.8,9095.1,9181.6,9286.7,9364.2,9483.2
2025.1,2200.5,2385.8,2559.2,2724.1,2852,2986.6,3262,3425,3581.5,3729.9,3907.9,4101.7,4258.3,4400.4,4515.9,4888.8,5063.7,5197.5,5413.9,5543.1,5722.3,5836.9,5938.8,6011,6147,6307.6,6431.1,6532.2,6624.5,6708,6820.2,6896.5,7028.8,7334.4,7483.8,7626.7,7839.7,7974.5,8214.8,8336.8,8436.1,8503.1,8645.6,8834.7,8955.1,9060,9153.5,9238.2,9353,9421.1,9557.9
