l,l,i,l,i,l,i,l,i,l,i,n,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
2658.9,2811.8,3103.3,3295.2,3418.9,3647.8,3760.2,4358.7,4481.6,4683.3,4788.3,5183.6,5347.2,5680.5,5803.4,5933.3,6070.7,6194.6,6330.5,6498.8,6649.6,6768.1,6878.8,6952.5,7072.8,7243.8,7364.4,7470.8,7569.4,7657.2,7761.9,7836.4,7953.5,8210.7,8343.7,8469.3,8654.8,8779.8,8909.2,9019.8,9188.3,9292.7,9451,9550.6,9627,9746.6,10084,10222,10326,10484,10676,10858,10977,11088,11190,11275,11380,11456,11577,11755,11879,11988,12090,12176,12283,12358,12478,12779,12883,13028,13135,13306,13407,13484,13604,13768,13889,14000,14076,14198,14405,14527,14642,14742,14830,14936,15012,15140
2704.3,2853.2,3151.1,3332.3,3475.5,3685.4,3827,4396.5,4530.6,4726.4,4862.5,5256.6,5409.6,5717.1,5845.6,5972.7,6113.8,6237.9,6446.6,6574,6722.9,6839.5,6938.3,7008.8,7145.3,7315.2,7431.4,7534.5,7625.2,7708.5,7822.9,7894.1,8029.9,8271,8385.7,8513.8,8697,8822.9,8954.2,9084.2,9232.2,9358.9,9506.7,9613.6,9680.8,9822.7,10142,10264,10397,10622,10752,10932,11050,11152,11245,11329,11442,11507,11654,11826,11950,12054,12149,12235,12344,12415,12553,12824,12953,13075,13208,13357,13469,13542,13683,13843,13961,14062,14132,14276,14477,14602,14707,14800,14891,15000,15076,15215
