l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i
1995.6,2173.7,2350.6,2466.8,2626.3,2738.1,2914.9,3022.2,3210.6,3313.7,3460.8,3645.2,3803.4,3920,4027.4,4101.2,4214.8,4360.2,4474.2,4582.8,4683.2,4767.3,4872.1,4949.7,5065.5,5223.6,5343,5453.1,5553.8,5639.3,5743.3,5820.6,5938.5,6197.4,6372.8,6478.8,6646.9,6809.8,6989.2,7102.1,7209.8,7284.8,7401.2,7567.1,7685.3,7798.1,7897.3,7983.7,8090.8,8167,8286,9023,9152,9335.9,9444,9611,9721.1,9889.8,9991.2,10065,10184,10368,10486,10597,10696,10781,10883,10960,11077,11420,11628,11737,11903,12004,12080,12201,12382,12500,12612,12712,12798,12902,12978,13099,13301,13422,13533,13634,13717,13823,13900,14021,14890,15017,15276,15440,15558,15825,15954,16176,16279,16527,16673,17092,17194,17364,17469,17638,17800,17964,18086,18195,18270,18388,18548,18669,18779,18881,18968,19075,19150,19270,19924,20085,20199
2031,2219.2,2389,2525.8,2668.2,2796.7,2959.2,3086.9,3251.8,3386,3593.1,3723.7,3876.9,3989.5,4091.2,4161.4,4292.1,4434.9,4544.9,4645.1,4737.7,4825.4,4936.8,5004.3,5143.4,5298.1,5417.4,5516.6,5609.7,5692.6,5806.2,5874.1,6013.4,6247.3,6417.6,6554.2,6753.8,6886.2,7061.9,7175.8,7275.1,7343.3,7480.2,7642,7761.4,7863,7953.3,8039.4,8154.2,8222.2,8364.2,9063,9208,9379.4,9512.8,9655.2,9785.3,9947.3,10055,10123,10264,10442,10561,10660,10754,10837,10949,11016,11156,11474,11671,11814,11962,12070,12136,12279,12456,12571,12678,12769,12853,12968,13035,13178,13375,13497,13597,13689,13778,13891,13963,14099,14929,15071,15318,15481,15624,15871,16013,16217,16348,16565,16731,17131,17262,17406,17548,17744,17877,18039,18158,18260,18326,18468,18622,18745,18846,18939,19023,19140,19210,19350,19972,20131,20266
