l,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i
1198,1991.1,2138.2,2334.1,2514.8,2687.8,2903.4,3041.7,3278.6,3457.8,3674.9,3788.8,3948,4049.6,4126.8,4250,4450.3,4569.7,4689.5,4782.8,4872,4979,5055.2,5173.8,5461.6,5640.3,5753,5908.8,6094.9,6288.5,6409.5,6519.8,6600.5,6720.4,7063.7,7229.2,7338,7493.2,7677.2,7840.9,7958.9,8069.8,8173.2,8260.8,8366.2,8443.1,8564.3,8840,8992.8,9099.7,9256.4,9448.8,9642.8,9761.8,9874.5,9976.1,10064,10173,10250,10372,10663,10822,10931,11086,11265,11440,11563,11677,11781,11868,11978,12056,12179,12614,12782,12891,13682,13845,14010,14119,14335,14449,14611,14717,14796,14914,15102,15229,15341,15447,15535,15642,15722,15846,16200,16371,16513,16831,16940,17121,17227,17305,17426,17580,17707,17822,17927,18015,18126,18203,18324,18529,18642
1231.4,2030,2178.1,2386.5,2554.6,2738.9,2939.2,3097,3317.6,3504.7,3716.8,3861,4004.8,4110.8,4184,4328.5,4521.1,4643.8,4743.5,4840.5,4927.3,5043.5,5111.8,5253.8,5514.5,5682.5,5833.4,6042.2,6176.4,6363.5,6480.1,6582.4,6652.2,6799,7116.4,7274.1,7405,7621.4,7758.5,7912.5,8029.6,8134.1,8230.1,8318.8,8430.2,8504.1,8642.7,8894.3,9035.9,9168.9,9389.9,9528,9719,9833.7,9939.4,10035,10122,10237,10306,10453,10713,10867,11001,11211,11345,11514,11636,11743,11839,11925,12045,12118,12260,12666,12826,12958,13721,13898,14055,14189,14379,14524,14669,14780,14851,14992,15179,15304,15408,15505,15596,15708,15782,15926,16250,16415,16552,16877,17006,17182,17291,17367,17508,17655,17780,17886,17985,18072,18190,18259,18405,18573,18711
