l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f
1528.8,1974.5,2124.3,2263.1,2366.5,2515.5,2616.3,2801.1,2901.8,3045.6,3230.8,3378.4,3501.2,3610.5,3687.3,3803.7,3950.9,4079.5,4194.8,4297.1,4383.1,4490,4566.8,4685.5,4986.1,5127.5,5230.4,5374.5,5568.3,5780.4,5902.6,6013.9,6091.3,6209.9,6364.7,6486,6599.2,6702.6,6789.6,6900.4,6977.4,7099.3,7976.8,8119.8,8225,8373.3,8567.4,8777.8,8900.6,9013,9115.9,9202.6,9307.1,9384.5,9503.2,9769,9908.4,10010,10161,10354,10572,10691,10803,10907,11000
1563.3,2010,2168.5,2304.1,2425.8,2559.5,2681.2,2845.2,2975.1,3179.9,3312.1,3454.2,3573.3,3674.9,3743.4,3878.5,4027.1,4154.4,4260.8,4354.4,4440.2,4554.5,4622.4,4763.4,5043.9,5173,5301.8,5514.7,5648.5,5851.3,5977.9,6079.2,6146.8,6289.8,6442.4,6559,6666.6,6759.7,6850.8,6967.9,7040.5,7178.9,8033.5,8167.5,8299.4,8518.9,8644.8,8849.1,8977.2,9079.4,9174.5,9262.8,9375.6,9444.4,9584.9,9834.7,9955.6,10082,10301,10434,10646,10767,10872,10967,11054
