l,i,l,i,l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1989.4,2156.3,2356.5,2541,2742.2,2890.3,3063.2,3238.1,3443.8,3603.6,3848.2,4021.2,4206.8,4389.5,4615.2,4757.2,4935,5041.4,5183.3,5372.8,5548.1,5663.2,5772.3,5846.4,5960.5,6137.4,6257.3,6366,6465.4,6551.4,6654.5,6728.5,6852.5,7076.9,7219,7330.7,7429.6,7515.1,7618.8,7693.8,7811.1,7988.2,8113.9,8224.2,8305.6,8422.3,8758.3,8930.8,9033.3,9202.2,9303.8,9380,9498.4,9684,9805.4,9915.6,10016,10102,10209,10283,10408
2023.8,2196.1,2396.2,2589.8,2780.1,2928.4,3099.8,3292.5,3483.3,3659.4,3886.6,4071.1,4249.8,4443.5,4656.9,4818.3,4975.1,5117.7,5319,5444.8,5619.1,5736.6,5839.3,5899.7,6039.1,6206.3,6331.3,6425.5,6520.1,6609.8,6714.8,6786.7,6927,7145.1,7293.9,7394.7,7485.4,7573.5,7683.4,7752.6,7886.7,8063.7,8189.3,8287.1,8357.8,8498.5,8810.7,8972.1,9109.2,9260.3,9364.8,9436.6,9575.4,9762,9883.7,9978.6,10073,10163,10272,10338,10487
