l,i,i,l,l,l,l,l,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1371.5,1521.5,1687.5,1849.8,1988.1,2155.5,2350.5,2541.9,2880,3077.7,3328.6,3566.8,3809.1,3948.8,4108.3,4225.7,4409,4513.9,4659.7,4845.9,5075.4,5190.3,5299,5370.4,5487.2,5631.2,5745.4,5856.4,5955.2,6036.9,6148.3,6217.6,6328.8,6582.4,6727.5,6830.1,6978,7163.4,7325.4,7444.2,7548.5,7622.2,7737.9,7914.2,8030.8,8137.1,8237.1,8319.9,8421.8,8495.2,8611.2,8837.7,8986.8,9089.6,9232.9,9426.6,9608.3,9725.2,9833.5,9906.6,10022,10183,10299,10409,10509,10592,10695,10769,10886,11148,11285,11386,11551,11650,11724,11842,12038,12156,12264,12364,12448,12551,12625,12746,12931,13048,13158,13259,13344,13447,13522,13639,14150,14297,14397,14542,14640,14786,14967,15130,15246,15354,15428,15551,15871,16059,16160,16353,16454,16603,16795,16978,17100,17208,17308,17394,17498,17572,17692
1403.8,1555.3,1724,1895.6,2031.9,2204.9,2397.3,2584.8,2915.8,3115,3369.5,3616.7,3849.4,3999.9,4152.3,4286.6,4451.5,4588.1,4797.6,4919.1,5142.9,5260.5,5359.7,5425.3,5567.6,5701.5,5818.9,5920.5,6011.9,6095.6,6196.7,6260.5,6406.9,6638.8,6778,6911.5,7110.9,7244,7399.3,7515.4,7615.9,7684.6,7815.5,7989.9,8103.6,8203,8293.8,8381.1,8486.2,8556.4,8690.7,8898.2,9038.9,9173.6,9374.7,9505.4,9684.5,9797.8,9898.9,9964.7,10104,10260,10374,10475,10566,10655,10760,10828,10964,11212,11337,11468,11610,11718,11786,11923,12110,12232,12331,12422,12510,12618,12686,12828,13009,13126,13225,13318,13406,13513,13584,13719,14198,14344,14461,14589,14709,14914,15047,15204,15320,15412,15479,15633,15932,16111,16233,16397,16531,16742,16875,17056,17175,17274,17366,17452,17562,17632,17770
