l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1979.8,2119.9,2292.5,2392.3,2593,2729.2,2935.5,3089.8,3284.4,3398.3,3569.6,3730.3,3956.9,4072.1,4181.8,4254.7,4369.4
2013.8,2167.2,2330.5,2457.7,2630.5,2783.2,2973.6,3145,3324.8,3464.8,3677.1,3804.8,4029.9,4143.1,4246.1,4308.2,4447.2
