i,l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1151.4,1425.2,1567.8,1985.8,2133.6,2307.5,2428.3,2816,3002.9,3208.3,3339.2,3501.9,3608.4,3809.5,3932.5,4083.9,4182,4256.3,4370.5,4559.3,4673.8,4780.1,4856.1,4969.7,5154.5,5277.3,5386.8,5486.2,5567.9,5673.9,5748.5,5866.5
1198.9,1463.9,1607.3,2020,2178.9,2345.4,2491.4,2855.5,3054.3,3249.3,3397.4,3541.9,3679.5,3852.2,3997.8,4138.5,4243.3,4311.6,4446.9,4629.4,4742.9,4844.8,4914.1,5048.7,5224.8,5349,5447.9,5540.8,5628.5,5731.8,5804.3,5942.3
