i,l,i,l,i,f,a,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l
1062.2,1294.7,1475.8,1681.6,1796.9,1968.4,2072.5,2268.1,2495.6,2612.6,2724.2,2826.5,2913.2,3024.7,3100.2,3219.4,3556.3,3757.4,3893,4034.3,4137.6,4214.2,4333,4693.7,4868.5,5006.8,5135.5,5329.7,5509.9,5632.2,5743.6,5845.1,5935,6040.2,6117.3,6239.7,6749.7,6916.5,7023.2,7180.4,7384,7585.3,7710.2,7822.1,7900.1,8019.2,8236.2,8361.2,8472.4,8548.3,8669,8867,8986.8,9100.1,9199.3,9287.5,9396.7,9473.7,9597.1,10016,10208,10364,10510,10615,10691,10812,10963,11093,11205,11309,11395,11506,11585,11708,12719
1104,1335,1523.5,1724.7,1856.4,2020.6,2127.4,2341.9,2565,2683.6,2783.9,2881.5,2968.6,3082.7,3158.1,3297.2,3603.8,3797.7,3926.8,4092.2,4197,4269.2,4409.3,4741.2,4909.6,5046.6,5272,5409.4,5582.7,5702,5809.2,5903.2,5990.4,6098.9,6172.1,6316,6800.3,6961.6,7088,7327.9,7458.7,7658.8,7781.9,7882,7955.4,8095.5,8310,8434.4,8537.7,8607.8,8751.2,8941.8,9059.1,9159.2,9257,9344.2,9455.7,9533.4,9673.8,10063,10251,10399,10564,10679,10749,10893,11042,11166,11272,11365,11451,11565,11641,11783,12750
