l,i,l,i,l,i,l,i,l,i,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,i,l,i
1543.9,1726.2,1974.6,2105.9,2303.8,2420.2,2739.7,2852.9,3029.5,3132.6,3515.7,3679.2,3802.1,3959.2,4059.7,4134.4,4250.7,4409.8,4533.2,4641.4,4715.4,4833,5029,5154.2,5267,5365.2,5451.6,5559.1,5634.1,5753.7,6015.9,6326.4,6520,6630.1
1579,1770.7,2012.3,2154.9,2344,2482.8,2777.7,2909.8,3070.3,3204.1,3565.9,3719.4,3864.4,4015.1,4122.4,4188.4,4327.7,4483.1,4607.7,4704,4772.6,4913.8,5098.1,5230,5330.4,5424.2,5512.2,5620.8,5689.8,5828.2,6086.1,6376.7,6563,6701.2
