l,l,i,l,l,l,i,l,i,l,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1978.3,2111.8,2268.1,2526.4,2672.3,2780.1,3041.1,3240.5,3355.7,3699.4,3994.5,4103.6,4268.8,4442,4622.9,4739.8,4847.2,4921.9,5040.6,5299.3,5418.3,5538.5,5630.9,5716.9,5822.1,5898,6014.9
2016.1,2147.7,2317.6,2565.3,2709.8,2817.5,3091.5,3281.5,3414.8,3734.1,4029.7,4165.1,4388.8,4518.4,4694.9,4809.6,4908.2,4978.4,5116.2,5370.6,5489.2,5593.1,5687.6,5776.5,5881.8,5953.5,6093.2
