l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1984.8,2106.6,2256.2,2379.1,2579.7,2707.2,2897.1,3001.1,3162.8,3263.2,3340.6,3457.2,3665,3784.3,3891.4,3966.8,4083.7,4267.4,4390.7,4499.5,4575.3,4695.3,4861.4,4985.4,5098.4,5199.2,5286.1,5393.9,5470.2,5588.8,5884.4,6071,6177.9,6346,6447.1,6524.2,6642.6,7026.8,7187.2,7292.4,7464.2,7565.3,7644.7,7762.3,7925.4,8051.6,8163.6,8244.6,8362.1,8551.8,8673,8783.6,8862.1,8982.7,9161.2,9290,9401.8,9480.2,9598.9,9900.8,10067,10170,10404,10516,10695,10798,10874,10993,11141,11271,11380,11459,11579,12490,12610,12785,12890,13097,13204,13361,13463,13539,13657,13797,13918,14029,14107,14226,14366,14493,14603,14705,14793,14901,14980,15102
2021.8,2162.9,2291.1,2422,2616.4,2739.9,2934.8,3063.1,3211.4,3323.2,3397.2,3532,3735.6,3853.8,3956.5,4024.8,4161.1,4341.7,4461.5,4562.7,4635.9,4771.9,4936.2,5060.7,5160.7,5255.1,5340.1,5454.6,5523.5,5662.8,5936.1,6113.1,6253.2,6401.1,6509.2,6581.6,6720.8,7073.7,7229.4,7362.6,7521.3,7627.9,7698.9,7843.3,7997.8,8125.9,8227.5,8296.9,8439.9,8625.5,8746.2,8848.5,8920.8,9062.2,9236,9363.8,9469.1,9536.9,9678.8,9958.5,10114,10241,10448,10585,10748,10862,10933,11073,11215,11345,11446,11515,11659,12523,12660,12828,12955,13140,13272,13413,13526,13597,13737,13870,13991,14095,14163,14308,14440,14565,14670,14764,14849,14966,15036,15178
