l,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1983.7,2113.3,2321.3,2514.7,2637.9,2855,2982.2,3322.4,4192.2,4331,4533.7,4771.6,4961.4,5102.2,5344.4,5456.3,5629,5731.5,5808.1,5923.6,6093.3,6221.1,6328.1,6411.5,7059.8,7182.7,7374.9,7483.6,7636.1,7818.5,8007.4,8126.3,8236.1,8338.7,8425.6,8532.2,8612.3,8729.1,9546.2,9678.6,9833.2,9955.6,10113,10216,10292,10412,10611,10729,10845,10948,11033,11139,11216,11336,11766,11955,12057,12271,12377,12562,12665,12743,12863,13093,13224,13337,13439,13524,13630,13708,13834
2022.8,2151.9,2367.9,2556.2,2698,2893.9,3038.2,3361.9,4228.9,4390.9,4575.3,4826.7,5005,5166.8,5382.4,5524.1,5685.9,5789.2,5867.3,6003.5,6165.1,6291.8,6396.3,6488.6,7098.2,7239.6,7421,7546.6,7764.8,7897.5,8082.4,8200,8302.8,8396.8,8482,8594.6,8666.3,8808.7,9586.2,9731.5,9874.3,10017,10167,10276,10346,10490,10684,10806,10909,11005,11089,11202,11272,11417,11827,12002,12136,12316,12450,12619,12733,12802,12945,13166,13298,13401,13495,13587,13698,13774,13916
