i,l,i,l,i,l,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1976.1,2281.1,2415.5,2613.6,2794.1,2962.1,3087.5,3219.3,3339.3,3505,3607.6,3683,3800.4,3973.4,4098.5,4211.5,4312.9,4398.9,4508,4583.9,4702.4,4996.3,5178,5281.8,5430.7,5622.7,5800.4,5920.3,6031.3,6111.5,6229.1,6392.9,6522,6636.2,6737.8,6827.4,6936.8,7014.1,7137,7485.3,7654.1,7761.6,7927.2,8029.1,8105.2,8223,8552.4,8708,8812.1,9830.1,9959.6,10151,10261,10430,10573,10701,10890,11059,11185,11294,11371,11492,11653,11777,11887,11989,12077,12182,12259,12381
2048.7,2321.5,2464.3,2654.6,2843.7,3004.9,3132.6,3264.4,3399.8,3556.7,3670.4,3738.3,3882.9,4045.5,4170.5,4275.1,4369.9,4457.5,4571.8,4644.4,4781.3,5056.4,5223.8,5360,5566.1,5701.7,5873.9,5995.1,6096.5,6166.2,6305.1,6466.5,6596.6,6702.6,6794,6885.8,6999.7,7068.1,7207.9,7533.6,7697.6,7829.4,7980.2,8092.7,8163.1,8302,8612.7,8758.6,8885.1,9870.4,10013,10193,10327,10473,10618,10830,10965,11134,11258,11358,11427,11569,11728,11850,11954,12046,12137,12248,12318,12461
