l,l,l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1980.9,2208.3,2349.7,2522.4,2725.6,2882.3,3077.8,3292.6,3445.4,3668,3801,4054.3,4171.5,4392.6,4501.8,4658.5,4755.9,4829.3,4946.3,5115.3,5244.2,5351,5449.6,5535.3,5640.7,5713.8,5832.5,6277.8,6448.4,6549.3,6695.4,6882.3,7089.3,7210.1,7317.4,7418.2,7504,7607.9,7683.3,7804.3
2020.9,2245.5,2391.3,2567.9,2761.8,2923.8,3130,3332.6,3503.9,3707.4,3860.3,4092.4,4234.8,4436.1,4569.8,4711.4,4815.7,4890.1,5024.4,5189.6,5314.8,5415.5,5507.7,5594.4,5697.9,5771.4,5913.5,6327.7,6488.9,6619.1,6831.2,6956.9,7161.3,7280.5,7381.8,7474.7,7558.1,7670.1,7738.8,7882.8
