l,l,i,l,i,l,l,l,i,l,i,l,i,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,l,i,w,r,n,n,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
3026.3,3161.8,3488.1,3742.3,4014.9,4267.6,4434.3,4976.6,5111.3,5283.2,5389.5,5655.2,5754.2,6060,6206.6,6310.7,6464.2,6564.2,6643.1,6761,6912.8,7031.6,7139.7,7243.7,7328.1,7437.1,7514.1,7629.9,8747.7,8884.2,9021.5,9168.8,9341.7,9526.4,9652.8,9763.2,9864.1,9948.6,10055,10131,10250,10396,10516,10626,10700,10817,10987,11088,11240,11429,11608,11730,11837,11914,12034,12266,12368,12520,12708,12865,12988,13099,13201,13287,13392,13468,13585,13853,13983,14086,14240,14341,14497,14684,14849,14970,15084,15185,15272,15378,15457,15577,15969,16095,16193,16351,16548,16720,16839,16952,17056,17143,17251,17331,17448
3065.6,3204.8,3537.6,3777,4070.9,4302.7,4478,5009.9,5160.3,5322,5453.9,5696.9,5812.3,6100.7,6248.3,6375.3,6517,6625.6,6693.7,6835.2,6987.2,7100.5,7205.3,7299.4,7385.5,7502.1,7572.6,7706.6,8797.7,8922.4,9056.5,9280.9,9415,9597.1,9725.1,9829.2,9921.2,10009,10120,10191,10329,10471,10590,10691,10763,10897,11033,11160,11379,11505,11686,11802,11902,11972,12111,12308,12430,12657,12788,12942,13064,13165,13259,13347,13456,13522,13666,13903,14030,14152,14280,14412,14631,14764,14923,15043,15148,15242,15327,15444,15515,15657,16025,16138,16265,16494,16628,16796,16916,17017,17115,17202,17316,17383,17527
