l,i,l,i,l,i,f,a,b,r,n,n,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,i,l,i,l,w
1993,2168.3,2359.8,2475.3,2637,2750.9,2927.7,3030,3105.1,3224.2,3395.6,3516.1,3819.2,3977.2,4099.6,4208.8,4312.2,4398.4,4504,4580.7,4701.3,4915.5,5020.9,5167.9,5370.3,5525.3,5647.2,5761.5,5863.9,5949.4,6054.8,6131.2,6249.5,6438.5,6544.9,6765.3,6869.4,7028.8,7133.6,7308.7,7476.6,7670.3,7790.6,7900.9,8003.8,8091.1,8197.5,8275.7,8395.3,8722.8,8842.1,8949.1,9094.1,9198.5,9344.9,9540,9686.5,9807.3,9884.2,10003,10176,10297,10411,10513,10601,10708,10787,10906,11215,11381,11484,11700,11812,12231,12385,12492,12644,12750
2033.3,2216.8,2401,2546.8,2681.1,2814.2,2980.6,3093.6,3165.5,3304,3466.5,3765.6,3904.1,4053.2,4172.4,4276.1,4368.8,4459.4,4571.2,4642.2,4781.6,4964.3,5098.6,5316.2,5452.5,5598.2,5722.2,5828.6,5922,6010.5,6119.2,6187.7,6329.4,6484.8,6623.1,6810.2,6940.7,7075.9,7196.2,7422.2,7553.4,7746.7,7863.3,7966.2,8062.2,8146.5,8261.3,8329.5,8471.9,8771.8,8888.5,9027,9145.9,9273.8,9487.9,9620.4,9763.5,9871.9,9939.6,10083,10252,10372,10477,10573,10662,10776,10842,10988,11271,11423,11553,11744,11876,12285,12430,12559,12686,13025
