l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1979.7,2102,2309.5,2496.3,2647,2828.7,2991.4,3155,3301.4,3522.7,3648.7,3850.5,3959,4168.5,4287.6,4430.6,4615.2,4792.1,4912.8,5018.9,5093.6,5212.2,5400.2,5527.2,5633.8,5715.1,5832.7,6114.4,6285.5,6401,6613.8,6731.5,6877.1,7058.8,7222,7341.2,7447.7,7526.3,7642.9,7881.5,8030.4,8136,8289.9,8474,8648,8764.4,8872.4,8947.9,9063.8,9223.2,9344.7,9452.1,9552.2,9636,9742.9,9818.7,9937.3,10187,10348,10453,10634,10756,10899,11089,11235,11355,11465,11539,11658,11843,11960,12070,12171,12257,12362,12439,12556,12733,12851,12963,13066,13153,13258,13334,13455,13729,13888,13992,14225,14330,14489,14591,14667,14786,15775,15899,16050,16164,16347,16448,16611,16790,16944,17064,17172,17249,17365,17511,17632,17744,17844,17929,18037,18113,18232
2010.7,2140.6,2352.6,2535.2,2695.2,2866.1,3045.3,3196.4,3362.3,3562,3714.3,3892.2,4027.4,4211.3,4366.1,4563,4691.5,4865.2,4981.1,5082.8,5150.5,5291.6,5474.2,5597.5,5697.9,5773.9,5907.4,6168.4,6327.7,6470.7,6655.5,6804.3,7007.5,7136.6,7296.1,7412.5,7508,7582.9,7720.2,7940.3,8076.5,8217.6,8420.6,8548.4,8721.8,8836.4,8938.7,9006.9,9144.8,9298.3,9418.5,9514.3,9607,9696.1,9808.1,9878,10015,10239,10388,10519,10681,10826,11039,11168,11310,11428,11527,11596,11738,11918,12031,12138,12228,12315,12426,12496,12635,12810,12927,13027,13122,13207,13325,13391,13532,13784,13933,14067,14270,14399,14547,14656,14726,14863,15810,15950,16093,16233,16390,16521,16735,16865,17018,17137,17238,17306,17444,17587,17708,17809,17901,17984,18100,18171,18312
