l,i,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1710.1,1970.7,2178.1,2526.9,2637.9,2834.9,2936.7,3168.5,3296.5,3415.1,3593.8,3745,3862.5,3964.7,4040.5,4153.6,4316.9,4436.4,4539.3,4614.4,4726.5,4907.9,5022.4,5129.7,5228.7,5314.2,5417,5491.6,5607.4,5898.6,6064.7,6168.9,6331.2,6512.6,6692.9,6808.9,6915.4,7016.3,7101.5,7204.1,7278.9,7397.3,7684.6,7854.8,7987.8,8118.1,8215,8290.5,8406.8,8600.3,8718,8826.5,8904.8,9020.3,9209.6,9331,9439.7,9540.4,9627.4,9730.7,9807.6,9924.5,10458,10610,10709,10860,11049,11251,11373,11482,11558,11676,11877,11998,12107,12206,12292,12396,12474,12594,12812,12978,13095,13193,13281,13385,13462,13582
1743.8,2016.1,2213.6,2565.1,2695.1,2871,3004.5,3202,3327.9,3540.9,3664.4,3814.4,3931.5,4028.6,4099.9,4228.4,4387.8,4502.5,4603.9,4672.5,4804.2,4977.1,5092.8,5192.1,5284.8,5368.6,5480,5546,5681.7,5955.7,6106.2,6243.9,6458.6,6589.1,6764,6878.1,6981.4,7072.3,7158.9,7267.8,7338.6,7472.6,7735.6,7900.4,8024.5,8168.7,8279.9,8350.4,8483.9,8671,8789.7,8894.1,8961.5,9099.7,9281.3,9403.5,9506.3,9596.4,9686.1,9797.6,9862.9,10004,10505,10647,10786,10995,11128,11324,11446,11545,11618,11754,11948,12069,12171,12262,12353,12463,12534,12671,12885,13053,13159,13250,13335,13450,13519,13658
