l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1130.9,1286,1543.4,1652.4,1890.2,1994.9,2142.2,2324.6,2495.5,2615.8,2726.2,2800.7,2917.6,3080.4,3202.9,3314.2,3415.6,3501.3,3609.6,3686.4,3807.5,4120.5,4281.7,4384.9,4552.1,4655,4730.1,4849.6,5026.3,5154.4,5266.9,5368.9,5455.2,5562.8,5640.6,5761.6,5983.6,6110.1,6222.7,6324.5,6411.8,6520.2,6595.7,6717.6,7122.3,7283.2,7386.6,7534.3,7732.8,7924.7,8051.7,8161.2,8263.4,8351.4,8456.9,8533.3,8656.3,8889,9015.5,9129.2,9230.7,9319.7,9430.2,9505.6,9626.8
1169.3,1333.9,1583.4,1718.1,1930.7,2053.3,2264,2402.3,2566.2,2685.8,2785.8,2857.7,2997.7,3154.3,3273.7,3379.5,3471.2,3555.7,3668.5,3740.5,3882.8,4168.6,4326.6,4455,4610.2,4714.3,4789.7,4927.2,5102.1,5225.2,5330.4,5424.9,5517.1,5622.4,5698.3,5837.1,6055.6,6182.8,6287.2,6380.3,6469.4,6584,6656.8,6798.8,7171,7326.6,7452.9,7671.9,7810.8,7999.2,8123.4,8227.3,8321.2,8411.6,8518.9,8589.3,8735.7,8962.1,9087.5,9193.8,9288,9379.6,9493.7,9560.8,9707.1
