i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1801.2,1977.5,2134.2,2323,2464.9,2687,2830.7,3067.1,3174.8,3418,3552.1,3776.7,3875.7,4032.4,4128.7,4200.9,4312.2,4458.2,4572.1,4679.4,4757.2,4867.5,5047.3,5166.6,5272.4,5368.8,5453.4,5556.4,5631.6,5744.9,5936.4,6057.6,6166.9,6237.3,6355.4,6875.5,7028.4,7127.7,7274.7,7460.8,7683.7,7797.8,7905.7,7980.3,8095.9,8266.5,8385.4,8491.7,8565.5,8683.1,9065.3,9226,9323.8,9466.9,9657.5,9820.7,9938.9,10045,10145,10230,10335,10409,10526,10977,11143,11242,11396,11579,11728,11844,11952,12029,12144,12353,12474,12584,12682,12769,12870,12945,13063,13270,13386,13495,13595,13680,13785,13859,13979
1833.6,2018.2,2184.3,2361.4,2517.4,2727.4,2880.6,3106.3,3235,3457,3609.9,3811.7,3939.6,4080.5,4185.4,4255.8,4387.2,4528,4644.2,4740.6,4809.7,4942,5117.7,5235.5,5331.6,5423.1,5511.9,5615.9,5685.8,5821.2,6008.1,6129,6230,6299.1,6434.5,6925.3,7072.8,7208.5,7407.4,7542.3,7753.3,7869.5,7968.9,8034.3,8170.7,8340.9,8456,8556.2,8627.3,8759.6,9117.7,9267,9407,9609.4,9734.7,9894,10012,10112,10203,10289,10398,10469,10602,11028,11185,11313,11529,11654,11801,11916,12017,12090,12226,12426,12546,12648,12738,12822,12934,13004,13143,13345,13459,13562,13653,13739,13847,13917,14058
