l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1261.9,1426.2,1708.7,1843.1,1984,2103.2,2252.5,2443.9,2603.7,2722.9,2832.3,2909,3028.6,3212.9,3334.7,3445.7,3545.1,3632.1,3739.7,3815.4,3936.4
1297.5,1476.1,1748.8,1892.7,2024.7,2168.3,2390.4,2520.5,2677.5,2794.6,2897.8,2968.7,3109.3,3289.3,3409.2,3508.7,3602.1,3690.5,3799.4,3873.1,4011.3
